FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,3,1105.347,15.41138,Tutorial,BaselineAquisition
2,6,1146.13,11.80005,Tutorial,FindX
3,7,1184.818,5.936523,Tutorial,McDonalds
4,5,1503.874,11.00293,Rest,Control
5,5,1663.321,7.917969,Experimental,Control
6,4,1756.261,3.713623,Experimental,Control
7,6,1890.551,4.099976,Experimental,Control
8,5,1994.908,3.909546,Experimental,Control
9,5,2126.754,2.416748,Experimental,Control
10,5,2218.9,4.005127,Experimental,Control
11,4,2320.879,2.535889,Experimental,Control
12,6,2458.28,3.350342,Experimental,Control
